,Date/Time,Month,Day,Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Stn Press (kPa)
0,2018-01-01 00:00:00,1,1,-28.3,79,13,101.83
1,2018-01-01 01:00:00,1,1,-28.3,77,8,101.85
2,2018-01-01 02:00:00,1,1,-28.3,81,2,101.89
3,2018-01-01 03:00:00,1,1,-30.0,79,3,101.91
4,2018-01-01 04:00:00,1,1,-32.6,76,7,101.88
5,2018-01-01 05:00:00,1,1,-30.3,82,6,101.85
6,2018-01-01 06:00:00,1,1,-33.0,75,3,101.82
7,2018-01-01 07:00:00,1,1,-34.2,76,9,101.88
8,2018-01-01 08:00:00,1,1,-32.7,75,10,101.86
9,2018-01-01 09:00:00,1,1,-30.2,74,13,101.87
10,2018-01-01 10:00:00,1,1,-27.3,72,5,101.83
11,2018-01-01 11:00:00,1,1,-25.3,65,9,101.75
12,2018-01-01 12:00:00,1,1,-22.2,73,12,101.62
13,2018-01-01 13:00:00,1,1,-21.8,73,16,101.52
14,2018-01-01 14:00:00,1,1,-20.6,74,13,101.41
15,2018-01-01 15:00:00,1,1,-19.8,74,12,101.36
16,2018-01-01 16:00:00,1,1,-19.7,77,14,101.33
17,2018-01-01 17:00:00,1,1,-19.7,78,9,101.33
18,2018-01-01 18:00:00,1,1,-20.2,79,9,101.3
19,2018-01-01 19:00:00,1,1,-21.0,79,11,101.32
20,2018-01-01 20:00:00,1,1,-21.9,81,9,101.37
21,2018-01-01 21:00:00,1,1,-22.7,82,9,101.44
22,2018-01-01 22:00:00,1,1,-23.9,81,9,101.55
23,2018-01-01 23:00:00,1,1,-22.7,79,11,101.61
24,2018-01-02 00:00:00,1,2,-24.0,80,9,101.65
25,2018-01-02 01:00:00,1,2,-25.7,80,6,101.64
26,2018-01-02 02:00:00,1,2,-25.8,81,7,101.64
27,2018-01-02 03:00:00,1,2,-25.2,77,10,101.72
28,2018-01-02 04:00:00,1,2,-27.0,78,5,101.67
29,2018-01-02 05:00:00,1,2,-26.5,79,11,101.66
30,2018-01-02 06:00:00,1,2,-27.0,76,6,101.56
31,2018-01-02 07:00:00,1,2,-26.8,78,4,101.5
32,2018-01-02 08:00:00,1,2,-27.2,77,4,101.45
33,2018-01-02 09:00:00,1,2,-22.4,83,5,101.32
34,2018-01-02 10:00:00,1,2,-20.5,82,5,101.21
35,2018-01-02 11:00:00,1,2,-11.3,89,12,101.09
36,2018-01-02 12:00:00,1,2,-10.1,86,23,100.92
37,2018-01-02 13:00:00,1,2,-9.9,81,28,100.77
38,2018-01-02 14:00:00,1,2,-10.0,76,31,100.7
39,2018-01-02 15:00:00,1,2,-10.1,74,36,100.71
40,2018-01-02 16:00:00,1,2,-10.0,72,36,100.74
41,2018-01-02 17:00:00,1,2,-10.5,68,36,100.76
42,2018-01-02 18:00:00,1,2,-10.2,70,38,100.8
43,2018-01-02 19:00:00,1,2,-11.3,64,31,100.83
44,2018-01-02 20:00:00,1,2,-11.0,66,31,100.81
45,2018-01-02 21:00:00,1,2,-10.0,73,36,100.81
46,2018-01-02 22:00:00,1,2,-11.1,67,28,100.79
47,2018-01-02 23:00:00,1,2,-11.0,68,23,100.82
48,2018-01-03 00:00:00,1,3,-10.8,68,19,100.82
49,2018-01-03 01:00:00,1,3,-10.5,70,20,100.8
50,2018-01-03 02:00:00,1,3,-9.2,84,15,100.79
51,2018-01-03 03:00:00,1,3,-8.9,87,12,100.81
52,2018-01-03 04:00:00,1,3,-8.8,86,13,100.79
53,2018-01-03 05:00:00,1,3,-8.7,87,21,100.77
54,2018-01-03 06:00:00,1,3,-8.2,86,23,100.77
55,2018-01-03 07:00:00,1,3,-9.2,81,36,100.79
56,2018-01-03 08:00:00,1,3,-9.2,81,33,100.78
57,2018-01-03 09:00:00,1,3,-9.5,82,37,100.81
